"TXN_ID","SRC_ACCT_ID","DST_ACCT_ID","DESCRIPTION","AMOUNT"
2015,684,552,"transfer",1490
2016,684,365,"transfer",7137
2017,685,91,"transfer",4419
2018,685,734,"transfer",5946
2019,685,578,"transfer",6035
2020,685,35,"transfer",6766
2021,685,458,"transfer",2657
2022,686,181,"transfer",1247
2023,686,222,"transfer",3739
2024,686,534,"transfer",8048
2025,686,660,"transfer",1605
2026,686,138,"transfer",7061
2027,687,145,"transfer",2822
2028,687,258,"transfer",6657
2029,687,903,"transfer",2111
2030,687,296,"transfer",1712
2031,687,177,"transfer",9677
2032,688,743,"transfer",6130
2033,688,717,"transfer",3709
2034,688,577,"transfer",9160
2035,688,876,"transfer",3313
2036,688,420,"transfer",2813
2037,689,603,"transfer",2284
2038,689,222,"transfer",7739
2039,689,78,"transfer",1614
2040,689,669,"transfer",8201
2041,689,458,"transfer",6060
2042,690,918,"transfer",9536
2043,690,68,"transfer",3375
2044,690,135,"transfer",6382
2045,690,752,"transfer",2137
2046,690,335,"transfer",4444
2047,691,621,"transfer",6757
2048,691,502,"transfer",5405
2049,691,140,"transfer",7034
2050,691,495,"transfer",6649
2051,691,181,"transfer",7134
2052,692,743,"transfer",2669
2053,692,403,"transfer",3857
2054,692,40,"transfer",8823
2055,692,478,"transfer",8390
2056,692,289,"transfer",9012
2057,693,511,"transfer",7404
2058,693,982,"transfer",6697
2059,693,796,"transfer",6022
2060,693,948,"transfer",3320
2061,693,578,"transfer",5542
2062,694,524,"transfer",3610
2063,694,830,"transfer",1952
2064,694,27,"transfer",1241
2065,694,534,"transfer",2052
2066,694,118,"transfer",2352
2067,695,6,"transfer",8230
2068,695,818,"transfer",3200
2069,695,620,"transfer",1279
2070,695,284,"transfer",4572
2071,695,744,"transfer",9970
2072,696,561,"transfer",2766
2073,696,318,"transfer",2769
2074,696,351,"transfer",3702
2075,696,60,"transfer",9910
2076,696,216,"transfer",9668
2077,697,255,"transfer",4842
2078,697,787,"transfer",2418
2079,697,579,"transfer",8710
2080,697,974,"transfer",4370
2081,697,249,"transfer",7395
2082,698,68,"transfer",4893
2083,698,135,"transfer",9273
2084,698,404,"transfer",9249
2085,698,932,"transfer",8509
2086,698,317,"transfer",4669
2087,699,642,"transfer",9908
2088,699,152,"transfer",4602
2089,699,501,"transfer",7185
2090,699,29,"transfer",7651
2091,699,978,"transfer",2603
2092,700,547,"transfer",4102
2093,700,674,"transfer",1862
2094,700,259,"transfer",2939
2095,700,809,"transfer",6004
2096,700,607,"transfer",1666
2097,701,673,"transfer",5984
2098,701,421,"transfer",1468
2099,701,706,"transfer",2888
2100,701,975,"transfer",9247
2101,701,104,"transfer",8834
2102,702,222,"transfer",2660
2103,702,981,"transfer",9235
2104,702,155,"transfer",7694
2105,702,310,"transfer",1947
2106,702,960,"transfer",2015
2107,703,359,"transfer",6269
2108,703,58,"transfer",2970
2109,703,969,"transfer",7748
2110,703,890,"transfer",7532
2111,703,646,"transfer",2006
2112,704,387,"transfer",6825
2113,704,875,"transfer",3705
2114,704,235,"transfer",7859
2115,704,140,"transfer",6069
2116,704,258,"transfer",8444
2117,705,264,"transfer",8119
2118,705,19,"transfer",7677
2119,705,602,"transfer",2071
2120,705,429,"transfer",2821
2121,705,491,"transfer",9940
2122,706,681,"transfer",2312
2123,706,480,"transfer",4908
2124,706,298,"transfer",7096
2125,706,584,"transfer",6484
2126,706,317,"transfer",6127
2127,707,620,"transfer",3968
2128,707,385,"transfer",4603
2129,707,871,"transfer",1409
2130,707,761,"transfer",4952
2131,707,261,"transfer",4032
2132,708,662,"transfer",1292
2133,708,462,"transfer",5386
2134,708,70,"transfer",7463
2135,708,403,"transfer",9518
2136,708,510,"transfer",6848
2137,709,249,"transfer",1838
2138,709,258,"transfer",6767
2139,709,406,"transfer",8947
2140,709,590,"transfer",3795
2141,709,177,"transfer",2961
2142,710,134,"transfer",7973
2143,710,127,"transfer",4811
2144,710,238,"transfer",7396
2145,710,751,"transfer",5723
